geometry,POINT_ID,X_IM,Y_IM,X_MAP,Y_MAP,REF_BADDATA,TGT_BADDATA,X_WIN_SIZE,Y_WIN_SIZE,X_SHIFT_PX,Y_SHIFT_PX,X_SHIFT_M,Y_SHIFT_M,ABS_SHIFT,ANGLE,SSIM_BEFORE,SSIM_AFTER,SSIM_IMPROVED,RELIABILITY,LAST_ERR,L1_OUTLIER,L2_OUTLIER,L3_OUTLIER,OUTLIER
POINT (557159.9681608632 4219624.010602486),10909,9300,5200,557159.9681608632,4219624.010602486,False,False,512.0,316.0,1.3188467880887973,1.298153154845581,0.03297116968315095,-0.03245382942259312,0.04626390682233725,314.546949498426,0.12900581093801272,0.21569716567442215,True,76.6871953201619,-9999,False,False,False,False
POINT (557161.7561608689 4219624.010602486),10910,9400,5200,557161.7561608689,4219624.010602486,False,False,512.0,316.0,1.3633947096510726,1.297403473478203,0.03408486780244857,-0.032435087487101555,0.04705117547316249,313.5792818157772,0.12939081419546017,0.22184092970757055,True,76.95850911373894,-9999,False,False,False,False
POINT (557163.5441608747 4219624.010602486),10911,9500,5200,557163.5441608747,4219624.010602486,False,False,512.0,316.0,1.3469163464797653,0.6400849952353354,0.03367290867026895,-0.01600212510675192,0.037281802347102454,295.41812013904035,0.12830545667066232,0.22693690305166717,True,77.99110953344727,-9999,False,False,False,False
POINT (557165.3321608804 4219624.010602486),10912,9600,5200,557165.3321608804,4219624.010602486,False,False,512.0,316.0,1.3517016524325924,0.6119980180946929,0.03379254136234522,-0.01529995072633028,0.037094802115039606,294.35917123020556,0.11447781479394663,0.2022838175997767,True,78.0752691032028,-9999,False,False,False,False
POINT (557167.1201608862 4219624.010602486),10913,9700,5200,557167.1201608862,4219624.010602486,False,False,512.0,316.0,1.442630046635523,0.5518954856695095,0.03606575122103095,-0.013797387480735779,0.03861484575174243,290.9349531445675,0.11290367438270392,0.1921738647438104,True,74.61328249799982,-9999,False,False,False,False
POINT (557168.908160892 4219624.010602486),10914,9800,5200,557168.908160892,4219624.010602486,False,False,512.0,316.0,1.6572817834477145,0.49881800887710953,0.04143204458523542,-0.01247045025229454,0.04326807654620076,286.751039974498,0.1074033287855936,0.17605137145062827,True,62.61373316835972,-9999,False,False,False,False
POINT (557170.6961608977 4219624.010602486),10915,9900,5200,557170.6961608977,4219624.010602486,False,False,512.0,316.0,1.6185586791160755,0.34353891337246717,0.04046396701596677,-0.008588473312556744,0.04136537804142187,281.9831879043373,0.10671272712137737,0.1608661716545572,True,43.982551330162046,-9999,False,False,False,False
POINT (557172.4841609035 4219624.010602486),10916,10000,5200,557172.4841609035,4219624.010602486,False,False,512.0,316.0,1.6407351617811854,0.4228856410882957,0.04101837903726846,-0.010572141036391258,0.04235891387817176,284.45294412577573,0.11222358936798109,0.15007678361863871,True,37.61279501963794,-9999,False,False,False,False
POINT (557174.2721609093 4219624.010602486),10917,10100,5200,557174.2721609093,4219624.010602486,False,False,512.0,316.0,1.560385766827434,-0.41926457909843645,0.03900964418426156,0.010481614619493484,0.04039327399969296,254.96025042971894,0.11574545743164875,0.13378771660593045,True,36.392420265396844,-9999,False,False,False,False
POINT (557176.060160915 4219624.010602486),10918,10200,5200,557176.060160915,4219624.010602486,False,False,512.0,316.0,0.8088022256418572,0.4397801967406148,0.02022005571052432,-0.010994505137205124,0.02301585966564658,298.53480781285924,0.11221522642557202,0.12147296996132571,True,46.07603511445798,-9999,False,False,False,False
POINT (557177.8481609208 4219624.010602486),10919,10300,5200,557177.8481609208,4219624.010602486,False,False,512.0,316.0,0.3789627263287462,0.7340934292807316,0.009474068181589246,-0.01835233625024557,0.02065347945871299,332.6957566056277,0.1077608983176273,0.11740517137657133,True,57.1601803631474,-9999,False,False,False,False
